#,Test Question,Agent Response,Test Answer,Test Replace,Action,Agent Answer Choice ID,Agent Answer Score,Confidence,Confidence,Confidence,,
1,Which Faq are you using,Version 20171026,Version 20171026,,1,0,1,0.639092927,0.5,0.707106781,,2.064078513
2,What is the FAQ version,Version 20171026,Version 20171026,,1,0,2.118879492,0.81418938,0.67937203,0.904344533,,0.806437386
3,Which FAQ version we’re using,Version 20171026,Version 20171026,,1,0,2,0.803813476,0.666666667,0.894427191,,
4,What FAQ version is used,Version 20171026,Version 20171026,,1,0,2.118879492,0.81418938,0.67937203,0.904344533,,
5,What is the version of FAQ,Version 20171026,Version 20171026,,1,0,2.118879492,0.81418938,0.67937203,0.904344533,,
6,Which version of FAQ is used,Version 20171026,Version 20171026,,1,0,2.049929282,0.808305062,0.672123545,0.898762486,,
7,What are the course components,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
8,What are the components of the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
9,Which components does the course have,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.56461568,0.461885535,0.360865411,0.491660105,,
10,Which components are in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.636895789,0.500137979,0.38908756,0.537194928,,
11,What components are included in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
12,What can you tell me about the course,Post a private Piazza message visible only to the instructors,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,-0.5,74,1.247058824,0.69950917,0.554973822,0.780150254,,
