"#","Test Question","Agent Response","Test Answer","Test Replace","Action","Agent Answer Choice ID","Agent Answer Confidence",
"1","Which Faq are you using","Version 20171026","Version 20171026","","1.0","0","0.5",
"2","What is the FAQ version","Version 20171026","Version 20171026","","1.0","0","0.6793720301004992",
"3","Which FAQ version we’re using","Version 20171026","Version 20171026","","1.0","0","0.6666666666666666",
"4","What FAQ version is used","Version 20171026","Version 20171026","","1.0","0","0.6793720301004992",
"5","What is the version of FAQ","Version 20171026","Version 20171026","","1.0","0","0.6793720301004992",
"6","Which version of FAQ is used","Version 20171026","Version 20171026","","1.0","0","0.6721235453320701",
"7","What are the course components","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","1.0","1","0.4137806107380747",
"8","What are the components of the course","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","1.0","1","0.4137806107380747",
"9","Which components does the course have","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","1.0","1","0.3608654108654109",
"10","Which components are in the course","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","1.0","1","0.38908756037670356",
"11","What components are included in the course","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","1.0","1","0.4137806107380747",
"12","What can you tell me about the course","Post a private Piazza message visible only to the instructors","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","-0.5","74","0.5549738219895288",
"13","What components are included in the course","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","1.0","1","0.4137806107380747",
"14","How long are the videos","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","2","0.6324542429775732",
"15","How many videos are there","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","2","0.41885794726898556",
"16","How many hours of video are there","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","2","0.41885794726898556",
"17","How long do the videos take","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","2","0.6224234509869118",
"18","How much video are in the course","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","2","0.41885794726898556",
"19","How many hours of instruction for this class","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","3","0.6039632598639852",
"20","How long are the instruction for this course","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","2","0.5284686304742824",
"21","How many instructions are in this course","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","3","0.5300451182414851",
"22","How much time do instructions take in this class","The class demands significant amount of time and energy on a regular basis.","This course has 26 videos with about 18 hours of instruction.","","-0.5","36","0.6069921591129359",
"23","How many hours of instruction are in this course","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","3","0.5793735176037454",
"24","How many exercises are in the videos","The videos have ~150 exercises and ~100 “tutors” embedded in them.","The videos have ~150 exercises and ~100 “tutors” embedded in them.","","1.0","4","0.633730054889776",
"25","How many questions are in the videos","The videos have ~150 exercises and ~100 “tutors” embedded in them.","The videos have ~150 exercises and ~100 “tutors” embedded in them.","","1.0","4","0.42204106893126786",
"26","How many tutors are in the videos","The videos have ~150 exercises and ~100 “tutors” embedded in them.","The videos have ~150 exercises and ~100 “tutors” embedded in them.","","1.0","4","0.42204106893126786",
"27","How many nano-tutors are there","I do not know.","The videos have ~150 exercises and ~100 “tutors” embedded in them.","","-0.5","11","0.27781012783747044",
"28","Are there exercises to go with the videos","The videos have ~150 exercises and ~100 “tutors” embedded in them.","The videos have ~150 exercises and ~100 “tutors” embedded in them.","","1.0","4","0.5915344266988405",
"29","Are there tutors to go with the videos","We will use the Piazza forum for announcements, question answering, discussions, and collaboration.","The videos have ~150 exercises and ~100 “tutors” embedded in them.","","-0.5","7","0.5",
"30","Are there accompanying readings","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","","1.0","5","0.6178954883566505",
"31","Do you need to do more than just watch the videos","I do not know.","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","","-0.5","27","0.5",
"32","Are there resources to help with the projects","Projects will be done individually.","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","","-0.5","13","0.3762780968399538",
"33","Are the videos enough to do well in the class","This course has 26 videos with about 18 hours of instruction.","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","","-0.5","2","0.4020140557289445",
"34","Is there more content than just the videos","No","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","","-0.5","30","0.5",
"35","Are there additional readings","Yes","Yes","","1.0","34","0.5280561122244489",
"36","Do you need to read additional material","Yes","Yes","","1.0","34","0.5335600443169947",
"37","Are there more reading","Yes.","Yes","","-0.5","45","0.4396017283486756",
"38","Will we be required to do additional reading","Yes","Yes","","1.0","34","0.5658211161127948",
"39","Will there be more readings","Yes.","Yes","","-0.5","45","0.4396017283486756",
"40","Besides lectures, do we need to study anything else","The projects do not require any specialized knowledge of computer vision or image processing.","Yes.","","-0.5","12","0.41804499563498126",
"41","Who will give peer feedback","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","","1.0","6","0.6863500660095885",
"42","How much peer feedback is expected","No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","","-0.5","48","0.5",
"43","Will I need to perform peer reviews","No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","","-0.5","48","0.5138583369995601",
"44","How many peer reviews will I need to do","No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","","-0.5","48","0.5304081395877275",
"45","Who will perform peer reviews","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","","1.0","6","0.5115005694213428",
"46","Where do I go for announcements","We will use the Piazza forum for announcements, question answering, discussions, and collaboration.","We will use the Piazza forum for announcements, question answering, discussions, and collaboration.","","1.0","7","0.698728683485383",
"47","Do I need to log into Piazza regularly","It is important that you log into Piazza regularly and frequently (at least two or three times a week, daily if possible).","It is important that you log into Piazza regularly and frequently (at least two or three times a week, daily if possible).","","1.0","8","0.8081253349340463",
"48","How many writing components are there","The course includes 8 writing components: 3 assignments, 2 take home examinations, and 3 projects.","The course includes 8 writing components: 3 assignments, 2 take home examinations, and 3 projects.","","1.0","9","0.6163111931682744",
"49","How are examinations given","The examinations will involve significant amount of essay writing and will test knowledge on the video lessons and accompanying readings.","The examinations will involve significant amount of essay writing and will test knowledge on the video lessons and accompanying readings.","","1.0","10","0.6373018131469395",
"50","How many exams are there","The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.","The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.","","1.0","11","0.4062260693722151",
"51","Is there any exam","I do not know.","The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.","","-0.5","11","0.30906263040097115",
"52","Do I need to know computer vision","The projects do not require any specialized knowledge of computer vision or image processing.","The projects do not require any specialized knowledge of computer vision or image processing.","","1.0","12","0.7681116358048415",
"53","Is prior knowledge of computer vision required for the projects","The projects do not require any specialized knowledge of computer vision or image processing.","The projects do not require any specialized knowledge of computer vision or image processing.","","1.0","12","0.6666666666666666",
"54","Is prior knowledge of image processing required for the projects","Yes","The projects do not require any specialized knowledge of computer vision or image processing.","","-0.5","29","0.40469585361229804",
"55","Are projects individual or group","Projects will be done individually.","Projects will be done individually.","","1.0","13","0.7267179165837726",
"56","What are the primary learning goals for KBAI","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","","1.0","14","0.7453302064631815",
"57","What are the primary goals of this class","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","","1.0","14","0.631306772366489",
"58","What is the structure of this course","The structure of this course is driven by several pedagogical motivations: learning by example, learning by doing, project-based learning, personalization, collaborative learning, peer-to-peer learning, self-reflection and authenticity.","The structure of this course is driven by several pedagogical motivations: learning by example, learning by doing, project-based learning, personalization, collaborative learning, peer-to-peer learning, self-reflection and authenticity.","","1.0","15","0.5669995896465424",
"59","What will I learn in this class","At the conclusion of this class: first you will have learned to be able to design and implement a knowledge-based artificial intelligence agent that can address a complex task using the methods discussed in the course. Second, you will be able to use this agent to reflect on the process of human cognition. Third, you will be able to use both these practices to address practical problems in multiple domains.","At the conclusion of this class: first you will have learned to be able to design and implement a knowledge-based artificial intelligence agent that can address a complex task using the methods discussed in the course. Second, you will be able to use this agent to reflect on the process of human cognition. Third, you will be able to use both these practices to address practical problems in multiple domains.","","1.0","16","0.5789354654414994",
"60","What is the Technical Report","The Technical Report is a document that provides more detailed accounts of learning goals, strategies, and outcomes of this course.","The Technical Report is a document that provides more detailed accounts of learning goals, strategies, and outcomes of this course.","","1.0","17","0.6793720301004992",
"61","How is this class taught","Each topic is taught through examples of the way in which humans and artificial intelligence agents approach certain problems, often building from human thought toward AI agents and subsequently referring back to human cognition.","Each topic is taught through examples of the way in which humans and artificial intelligence agents approach certain problems, often building from human thought toward AI agents and subsequently referring back to human cognition.","","1.0","18","0.554840775067609",
"62","How does this course encourage Learning by Doing","Students will participate in the reasoning within each particular lesson, and subsequently tie the topic back to a broader problem.","Students will participate in the reasoning within each particular lesson, and subsequently tie the topic back to a broader problem.","","1.0","19","0.7015868793856018",
