#,Test Question,Agent Response,Test Answer,Test Replace,Action,Agent Answer Choice ID,Agent Answer Confidence
1,Which Faq are you using,I do not know.,Version 20171026,,-0.5,67,0.35
2,What is the FAQ version,Version 20171026,Version 20171026,,1,0,1
3,Which FAQ version we’re using,I do not know.,Version 20171026,,-0.5,0,0.363636364
4,What FAQ version is used,Version 20171026,Version 20171026,,1,0,0.888888889
5,What is the version of FAQ,Version 20171026,Version 20171026,,1,0,0.888888889
6,Which version of FAQ is used,Version 20171026,Version 20171026,,1,0,0.6
7,What are the course components,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,1
8,What are the components of the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.888888889
9,Which components does the course have,This class has three projects.,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,-0.5,25,0.618181818
10,Which components are in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.666666667
11,What components are included in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.8
12,What can you tell me about the course,I do not know.,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,-0.5,15,0.4
13,What components are included in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.8
14,How long are the videos,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,1
15,How many videos are there,I do not know.,This course has 26 videos with about 18 hours of instruction.,,-0.5,4,0.8
16,How many hours of video are there,The videos have ~150 exercises and ~100 “tutors” embedded in them.,This course has 26 videos with about 18 hours of instruction.,,-0.5,4,0.676923077
17,How long do the videos take,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,0.666666667
18,How much video are in the course,The videos have ~150 exercises and ~100 “tutors” embedded in them.,This course has 26 videos with about 18 hours of instruction.,,-0.5,4,0.733333333
19,How many hours of instruction for this class,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,3,1
20,How long are the instruction for this course,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,0.6
21,How many instructions are in this course,I do not know.,This course has 26 videos with about 18 hours of instruction.,,-0.5,4,0.733333333
22,How much time do instructions take in this class,The class demands significant amount of time and energy on a regular basis.,This course has 26 videos with about 18 hours of instruction.,,-0.5,36,0.714285714
23,How many hours of instruction are in this course,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,3,0.666666667
24,How many exercises are in the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,1
25,How many questions are in the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,0.833333333
26,How many tutors are in the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,0.833333333
27,How many nano-tutors are there,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,-0.5,11,0.8
28,Are there exercises to go with the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,0.523076923
29,Are there tutors to go with the videos,I do not know.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,-0.5,4,0.369230769
30,Are there accompanying readings,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,1,5,1
31,Do you need to do more than just watch the videos,I do not know.,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,12,0.4
32,Are there resources to help with the projects,I do not know.,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,11,0.4
33,Are the videos enough to do well in the class,I do not know.,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,4,0.428571429
34,Is there more content than just the videos,I do not know.,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,18,0.254545455
35,Are there additional readings,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",Yes,,-0.5,5,0.75
36,Do you need to read additional material,I do not know.,Yes,,-0.5,8,0.453333333
